Date,Bitcoin_price,Ethereum_price,Cardano_price,Ripple_price,S&P500,DJI,NASDAQ,Gold,Silver,Commodities,T_Bill,Oil,Twitter_volume,Google_trends,Bitcoin_price_change,Bitcoin_price_change_percent,Bitcoin +/-
2019-12-23,7166.172379000001,125.01382439999999,0.032440234,0.18746515600000002,3224.01001,28551.5293,8945.650391,139.949997,16.280001000000002,16.17,1.935,60.52,0,9.0,-70.81382599999961,-0.00978498839075781,decrease
2019-12-24,7235.62665,128.0056504,0.034196542,0.19092527899999998,3223.3798829999996,28515.44922,8952.879883,141.270004,16.58,16.24,1.935,60.52,0,9.0,69.45427099999961,0.009691962086138206,increase
2019-12-25,7212.809395,125.3335416,0.033653203,0.18903376600000002,3223.3798829999996,28515.44922,8952.879883,141.270004,16.58,16.24,1.935,60.52,0,9.0,-22.817254999999932,-0.0031534594173677766,decrease
2019-12-26,7183.706536,125.2582993,0.034082348,0.188893265,3239.909912,28621.39063,9022.389648,142.380005,16.73,16.389999,1.905,61.68,0,9.0,-29.102859000000535,-0.004034885355514217,decrease
2019-12-27,7227.293712000001,126.14921389999999,0.032945057,0.189144868,3240.02002,28645.25977,9006.620117,142.330002,16.58,16.379998999999998,1.874,61.720001,0,9.0,43.58717600000091,0.006067505093863446,increase
2019-12-28,7311.560644,128.0111453,0.033627582,0.192989469,3240.02002,28645.25977,9006.620117,142.330002,16.58,16.379998999999998,1.874,61.720001,0,9.0,84.26693199999954,0.011659541642826232,increase
2019-12-29,7385.4648480000005,134.768035,0.034168653,0.196571353,3240.02002,28645.25977,9006.620117,142.330002,16.58,16.379998999999998,1.874,61.720001,0,9.0,73.90420400000039,0.01010785625646804,increase
2019-12-30,7251.276793999999,132.0730737,0.033439567999999996,0.19315398600000003,3221.290039,28462.14063,8945.990234,142.630005,16.74,16.33,1.895,61.68,0,11.0,-134.1880540000011,-0.018169208947807713,decrease
2019-12-31,7179.957819,128.7226035,0.032723187,0.19155812600000002,3230.780029,28538.43945,8972.599609,142.899994,16.68,16.209999,1.919,61.060001,0,11.0,-71.31897499999923,-0.009835367898107461,decrease
2020-01-01,7174.744012,129.8873633,0.033379209,0.19238823100000002,3230.780029,28538.43945,8972.599609,142.899994,16.68,16.209999,1.919,61.060001,0,11.0,-5.213807000000088,-0.0007261612298338216,decrease
2020-01-02,6955.48758,127.0556009,0.032746695,0.187671705,3257.850098,28868.80078,9092.19043,143.949997,16.809998999999998,16.290001,1.882,61.18,0,11.0,-219.25643200000013,-0.03055947802922121,decrease
2020-01-03,7291.219505,132.9708332,0.033889761000000004,0.19219589899999998,3234.850098,28634.88086,9020.769531,145.860001,16.84,16.51,1.788,63.049999,0,11.0,335.73192500000005,0.04826863985285135,increase
2020-01-04,7337.63667,133.8206207,0.034369462999999996,0.19230420899999998,3234.850098,28634.88086,9020.769531,145.860001,16.84,16.51,1.788,63.049999,0,11.0,46.41716499999984,0.006366173034314526,increase
2020-01-05,7347.433264,134.83425219999998,0.034345271000000004,0.19449507600000002,3234.850098,28634.88086,9020.769531,145.860001,16.84,16.51,1.788,63.049999,0,11.0,9.796594000000368,0.0013351157110372824,increase
2020-01-06,7713.860754,143.1316009,0.036853689,0.21859072100000002,3246.280029,28703.38086,9071.469727,147.389999,16.940001000000002,16.51,1.811,63.27,0,11.0,366.42749000000003,0.04987149618566433,increase
2020-01-07,8039.603701000001,142.133414,0.036839893,0.212809778,3237.179932,28583.679689999997,9068.580078,147.970001,17.17,16.459999,1.827,62.700001,0,11.0,325.74294700000064,0.042228263821211476,increase
2020-01-08,8067.606369,140.3393937,0.036472519,0.20760386399999997,3253.050049,28745.089839999997,9129.240234,146.860001,16.93,16.15,1.874,59.610001000000004,0,11.0,28.002667999999176,0.0034830905902134557,increase
2020-01-09,7808.7013640000005,137.494999,0.035951272,0.20312905899999997,3274.699951,28956.90039,9203.429688,146.029999,16.719998999999998,16.030001000000002,1.858,59.560001,0,11.0,-258.9050049999996,-0.03209192332373201,decrease
2020-01-10,8087.452885,142.8347834,0.036741047,0.20930158699999998,3265.350098,28823.76953,9178.860352,146.91000400000001,16.889999,16.02,1.825,59.040001000000004,0,11.0,278.75152099999923,0.035697551744661604,increase
